0,player,1,1,118,9,115
1,box,1,1,118,9,113
2,key,2,13,3,9,38
3,scroll,3,1,118,10,113
4,key2,2,1,117,9,113
5,gremlin1,4,1,115,9,115
6,gremlin2,4,1,116,9,110
7,gremlin3,4,1,117,9,115
8,blob1,5,13,10,9,30
9,blob2,5,1,119,9,115
10,blob3,5,1,120,9,115
11,troll1,6,1,118,9,120
12,troll2,6,1,119,9,120
13,troll3,6,1,120,9,120
14,gremlin4,4,1,115,9,115
15,gremlin5,4,1,116,9,110
16,gremlin6,4,1,117,9,115
17,blob4,5,13,10,9,30
18,blob5,5,1,119,9,115
19,blob6,5,1,120,9,115
20,troll4,6,1,118,9,120
21,troll5,6,1,119,9,120
22,troll6,6,1,120,9,120
23,gremlin7,4,1,115,9,115
24,gremlin8,4,1,116,9,110
25,gremlin9,4,1,117,9,115
26,blob7,5,13,10,9,30
27,blob8,5,1,119,9,115
28,blob9,5,1,120,9,115
29,troll7,6,1,118,9,120
30,troll8,6,1,119,9,120
31,troll9,6,1,120,9,1205,
32,gremlin1,4,1,115,9,115
33,gremlin2,4,1,116,9,110
34,gremlin3,4,1,117,9,115
35,blob1,5,13,10,9,30
36,blob2,5,1,119,9,115
37,blob3,5,1,120,9,115
38,troll1,6,1,118,9,120
39,troll2,6,1,119,9,120
40,troll3,6,1,120,9,120
41,gremlin4,4,1,115,9,115
42,gremlin5,4,1,116,9,110
43,gremlin6,4,1,117,9,115
44,blob4,5,13,10,9,30
45,blob5,5,1,119,9,115
46,blob6,5,1,120,9,115
47,troll4,6,1,118,9,120
48,troll5,6,1,119,9,120
49,troll6,6,1,120,9,120
50,gremlin7,4,1,115,9,115
51,gremlin8,4,1,116,9,110
52,gremlin9,4,1,117,9,115
53,blob7,5,13,10,9,30
54,blob8,5,1,119,9,115
55,blob9,5,1,120,9,115
56,troll7,6,1,118,9,120
57,troll8,6,1,119,9,120
58,troll9,6,1,120,9,120
59,stick,8,1,118,9,114
