  1, 40, 39,  1,  1,  0,  0,  1, 20,  50,  0,0,        0
  2,  8, 38,  1,  3,  0,  0, 37, 32,1000,  0,0,        0
  3, 36, 18,  1,  3,  0,  0, 33,  6,1000,  0,0,        0
  4, 30, 13,  1,  3,  0,  0, 34, 39,1000,  0,0,        0
  5, 30, 34,  1,  3,  0,  0, 33, 49,1000,  0,0,        0
  6, 11,  4,  1,  3,  0,  0, 34, 32,1000,  0,0,        0
  7, 31,  9,  1,  3,  0,  0, 39,  5,1000,  0,0,        0
  8, 10, 40,  1,  3,  0,  0, 40, 12,1000,  0,0,        0
  9,  8,  1,  1,  7,  0,  0, 59, 19,1000,  0,0,        0
 10,  4,  8,  1,  7,  0,  0, 37, 14,1000,  0,0,        0
 11, 14,  5,  1,  9,  0,  0, 34, 24,1000,  0,0,        0
 12,  5,  6,  1,  9,  0,  0, 33, 18,1000,  0,0,        0
 13, 10, 30,  1,  9,  0,  0, 35, 50,1000,  0,0,        0
 14, 34, 33,  1,  9,  0,  0, 34, 32,1000,  0,0,        0
 15, 34, 18,  1,  9,  0,  0, 29, 41,1000,  0,0,        0
 16, 11,  2,  1,  5,  0,  0, 40, 48,1000,  0,0,        0
 17, 29, 22,  1,  6,  0,  0, 33, 21,1000,  0,0,        0
 18, 14, 13,  1,  6,  0,  0, 29, 37,1000,  0,0,        0
 19, 19, 26,  1,  6,  0,  0, 36, 31,1000,  0,0,        0
 20, 38, 27,  1,  6,  0,  0, 35, 48,1000,  0,0,        0
 21, 37, 13,  1,  6,  0,  0, 38, 16,1000,  0,0,        0
 22,  2, 24,  1, 12,  0,  0, 22, 28,1000,  0,0,        0
 23, 30, 24,  1, 12,  0,  0, 22, 13,1000,  0,0,        0
 24, 21,  9,  1, 12,  0,  0, 27, 20,1000,  0,0,        0
 25, 29, 21,  1,  8,  0,  0, 38, 39,1000,  0,0,        0
 26, 35, 23,  1,  8,  0,  0, 38, 34,1000,  0,0,        0
 27, 16, 20,  1,  8,  0,  0, 36, 25,1000,  0,0,        0
